"^gspc.low","^gspc.high","^gspc.close"
3794.330078125,3878.4599609375,3824.13989257812
3815.77001953125,3873.15991210938,3852.96997070312
3802.419921875,3839.73999023438,3808.10009765625
3809.56005859375,3906.18994140625,3895.080078125
3890.419921875,3950.57006835938,3892.09008789062
3877.2900390625,3919.830078125,3919.25
3928.5400390625,3970.07006835938,3969.61010742188
3937.56005859375,3997.76000976562,3983.169921875
3947.669921875,4003.94995117188,3999.09008789062
3984.57006835938,4015.38989257812,3990.96997070312
3926.59008789062,4014.15991210938,3928.86010742188
3885.5400390625,3922.93994140625,3898.85009765625
3897.86010742188,3972.9599609375,3972.61010742188
3971.63989257812,4039.31005859375,4019.81005859375
3989.7900390625,4023.919921875,4016.94995117188
3949.06005859375,4019.55004882812,4016.21997070312
4013.2900390625,4061.57006835938,4060.42993164062
4048.69995117188,4094.2099609375,4070.56005859375
4015.55004882812,4063.85009765625,4017.77001953125
4020.43994140625,4077.15991210938,4076.60009765625
4037.19995117188,4148.9501953125,4119.2099609375
4141.8798828125,4195.43994140625,4179.759765625
4123.35986328125,4182.35986328125,4136.47998046875
4093.3798828125,4124.6298828125,4111.080078125
4088.38989257812,4176.5400390625,4164
4111.669921875,4156.85009765625,4117.85986328125
4069.669921875,4156.22998046875,4081.5
4060.7900390625,4094.36010742188,4090.4599609375
4092.669921875,4138.89990234375,4137.2900390625
4095.01000976562,4159.77001953125,4136.1298828125
4103.97998046875,4148.10986328125,4147.60009765625
4089.48999023438,4136.5400390625,4090.40991210938
4047.94995117188,4081.51000976562,4079.09008789062
3995.18994140625,4052.35009765625,3997.34008789062
3976.89990234375,4017.3701171875,3991.05004882812
3969.18994140625,4028.30004882812,4012.32006835938
3943.080078125,3978.25,3970.0400390625
3973.55004882812,4018.05004882812,3982.23999023438
3968.97998046875,3997.5,3970.14990234375
3939.05004882812,3971.72998046875,3951.38989257812
3928.15991210938,3990.84008789062,3981.35009765625
3995.169921875,4048.2900390625,4045.63989257812
4044.61010742188,4078.48999023438,4048.419921875
3980.31005859375,4050,3986.3701171875
3969.76000976562,4000.40991210938,3992.01000976562
3908.69995117188,4017.81005859375,3918.32006835938
3846.32006835938,3934.05004882812,3861.59008789062
3808.86010742188,3905.05004882812,3855.76000976562
3873.6298828125,3937.2900390625,3919.2900390625
3838.23999023438,3894.26000976562,3891.92993164062
3864.11010742188,3964.4599609375,3960.28002929688
3901.27001953125,3958.90991210938,3916.63989257812
3916.88989257812,3956.6201171875,3951.57006835938
3971.18994140625,4009.080078125,4002.8701171875
3936.169921875,4039.48999023438,3936.96997070312
3919.05004882812,4007.65991210938,3948.71997070312
3909.15991210938,3972.73999023438,3970.98999023438
3970.48999023438,4003.830078125,3977.53002929688
3951.53002929688,3979.19995117188,3971.27001953125
3999.53002929688,4030.59008789062,4027.81005859375
4032.10009765625,4057.85009765625,4050.830078125
4056.17993164062,4110.75,4109.31005859375
4098.7900390625,4127.66015625,4124.509765625
4086.8701171875,4133.1298828125,4100.60009765625
4072.56005859375,4099.68994140625,4090.3798828125
4069.84008789062,4107.31982421875,4105.02001953125
4072.55004882812,4109.5,4109.10986328125
4102.60986328125,4124.259765625,4108.93994140625
4086.93994140625,4134.3701171875,4091.94995117188
4099.39990234375,4150.259765625,4146.22021484375
4113.2001953125,4163.18994140625,4137.64013671875
4123.18017578125,4151.72021484375,4151.31982421875
4140.35986328125,4169.47998046875,4154.8701171875
4134.490234375,4162.56982421875,4154.52001953125
4114.56982421875,4148.56982421875,4129.7900390625
4113.85986328125,4138.02001953125,4133.52001953125
4117.77001953125,4142.41015625,4137.0400390625
4071.3798828125,4126.43017578125,4071.6298828125
4049.35009765625,4089.669921875,4055.98999023438
4075.2900390625,4138.240234375,4135.35009765625
4127.18017578125,4170.06005859375,4169.47998046875
4164.1201171875,4186.919921875,4167.8701171875
4089.71997070312,4164.10009765625,4119.580078125
4088.86010742188,4148.2998046875,4090.75
4048.28002929688,4082.61010742188,4061.21997070312
4084.72998046875,4147.02001953125,4136.25
4123.81005859375,4142.2998046875,4138.1201171875
4116.64990234375,4130.35009765625,4119.169921875
4098.919921875,4154.27978515625,4137.64013671875
4109.2900390625,4132.7998046875,4130.6201171875
4099.1201171875,4143.740234375,4124.080078125
4110.27001953125,4141.25,4136.27978515625
4109.85986328125,4135.5400390625,4109.89990234375
4113.6201171875,4164.669921875,4158.77001953125
4153.5,4202.2001953125,4198.0498046875
4180.2001953125,4212.91015625,4191.97998046875
4179.68017578125,4209.22021484375,4192.6298828125
4142.5400390625,4185.68017578125,4145.580078125
4103.97998046875,4132.9599609375,4115.240234375
4129.72998046875,4165.740234375,4151.27978515625
4156.16015625,4212.8701171875,4205.4501953125
4192.18017578125,4231.10009765625,4205.52001953125
4166.14990234375,4195.43994140625,4179.830078125
4171.64013671875,4232.43017578125,4221.02001953125
4241.009765625,4290.669921875,4282.3701171875
4266.81982421875,4299.27978515625,4273.7900390625
4263.08984375,4288.330078125,4283.85009765625
4263.9599609375,4299.18994140625,4267.52001953125
4261.06982421875,4298.009765625,4293.93017578125
4291.7001953125,4322.6201171875,4298.85986328125
4304.3701171875,4340.1298828125,4338.93017578125
4349.31005859375,4375.3701171875,4369.009765625
4337.85009765625,4391.81982421875,4372.58984375
4362.60009765625,4439.2001953125,4425.83984375
4407.43994140625,4448.47021484375,4409.58984375
4367.18994140625,4400.14990234375,4388.7099609375
4360.14013671875,4386.22021484375,4365.68994140625
4351.81982421875,4382.25,4381.89013671875
4341.33984375,4366.5498046875,4348.330078125
