"date","open","high","low","close","volume"
2023-01-03,75.8499984741211,75.9700012207031,73.7699966430664,74.0299987792969,9276200
2023-01-04,74.9899978637695,76.6100006103516,74.4700012207031,76.3199996948242,12316400
2023-01-05,76,76.4400024414062,75.3399963378906,75.7300033569336,10039200
2023-01-06,76.5,78.7399978637695,76.1500015258789,78.0699996948242,13744100
2023-01-09,80.5599975585938,81.2200012207031,80.0599975585938,80.3099975585938,22247600
2023-01-10,80.5100021362305,81.5800018310547,80.4599990844727,81.2699966430664,10269000
2023-01-11,81.5699996948242,81.8899993896484,80.629997253418,81.7799987792969,11771400
2023-01-12,84.9599990844727,88.8300018310547,84.4199981689453,87,36086800
2023-01-13,85.4100036621094,87.0999984741211,84.9000015258789,86.8000030517578,18719900
2023-01-17,86.2200012207031,89.7300033569336,86.1600036621094,88.9899978637695,21850000
2023-01-18,90.4800033569336,91.2200012207031,89.3600006103516,89.4700012207031,19209800
2023-01-19,89.0299987792969,90.0100021362305,88.2600021362305,88.4000015258789,13651100
2023-01-20,90,91.0299987792969,89.1999969482422,91.0299987792969,14287200
2023-01-23,91.7600021362305,95.7300033569336,91.7200012207031,95.6600036621094,22875100
2023-01-24,95.7900009155273,98,91.5500030517578,94.5599975585938,11370500
2023-01-25,92.6800003051758,93,91.120002746582,92.4100036621094,14147300
2023-01-26,93.8899993896484,94.2799987792969,92.6399993896484,93.4499969482422,15759400
2023-01-27,92.8199996948242,94.120002746582,92.2399978637695,93.3000030517578,13646600
2023-01-30,92.8499984741211,94.25,92.5800018310547,93.129997253418,14079800
2023-01-31,91,92.7600021362305,90,92.7300033569336,13342100
2023-02-01,93,95.7699966430664,92.5699996948242,94.7399978637695,16788500
2023-02-02,96.5999984741211,97.5,95.8399963378906,96.6500015258789,14925300
2023-02-03,95.0400009155273,96.9499969482422,94.3099975585938,94.6600036621094,12242200
2023-02-06,91.8000030517578,92.0500030517578,90.7399978637695,91.8300018310547,12425200
2023-02-07,91.7799987792969,94.6999969482422,91.6800003051758,94.5500030517578,15258900
2023-02-08,95.0199966430664,95.9400024414062,94.2300033569336,94.2799987792969,12899700
2023-02-09,96,98.5699996948242,95.620002746582,96.6900024414062,16997400
2023-02-10,95.9499969482422,96.5,94.25,95.370002746582,11511400
2023-02-13,95.4700012207031,96.3899993896484,94.9100036621094,96.1100006103516,7803500
2023-02-14,95.8199996948242,98.9899978637695,95.2200012207031,97.9599990844727,15345100
2023-02-15,92.3300018310547,93.6800003051758,90.7699966430664,92.7600021362305,30208300
2023-02-16,90.9800033569336,91.7900009155273,89.879997253418,90.8199996948242,15568400
2023-02-17,89.9700012207031,90.3000030517578,88.9400024414062,90.0999984741211,11235300
2023-02-21,88.379997253418,89.4199981689453,87.4800033569336,87.6399993896484,14007600
2023-02-22,87.75,88.0899963378906,86.6600036621094,86.8300018310547,10106400
2023-02-23,90.3000030517578,91.9899978637695,89.4599990844727,90.0800018310547,15468300
2023-02-24,88.0899963378906,88.1500015258789,87.2399978637695,88.1100006103516,8817600
2023-02-27,88.6999969482422,88.8499984741211,87.2399978637695,87.3000030517578,10609400
2023-02-28,87.1399993896484,88.1500015258789,86.9000015258789,87.0699996948242,7520400
