date,mkt_excess,risk_free
2012-06-01,0.039,0
2012-07-01,0.0079,0
2012-08-01,0.0254,1e-4
2012-09-01,0.0273,1e-4
2012-10-01,-0.0176,1e-4
2012-11-01,0.0078000000000000005,1e-4
2012-12-01,0.0118,1e-4
2013-01-01,0.0557,0
2013-02-01,0.0129,0
2013-03-01,0.0403,0
2013-04-01,0.015600000000000001,0
2013-05-01,0.0281,0
2013-06-01,-0.012,0
2013-07-01,0.0565,0
2013-08-01,-0.0271,0
2013-09-01,0.0377,0
2013-10-01,0.0417,0
2013-11-01,0.031200000000000002,0
2013-12-01,0.027999999999999997,0
2014-01-01,-0.033,0
2014-02-01,0.046799999999999994,0
2014-03-01,0.0040999999999999995,0
2014-04-01,-0.0019,0
2014-05-01,0.0204,0
2014-06-01,0.026099999999999998,0
2014-07-01,-0.0203,0
2014-08-01,0.0424,0
2014-09-01,-0.0196,0
2014-10-01,0.025099999999999997,0
2014-11-01,0.0256,0
2014-12-01,-5e-4,0
2015-01-01,-0.030899999999999997,0
2015-02-01,0.061399999999999996,0
2015-03-01,-0.0109,0
2015-04-01,0.006,0
2015-05-01,0.0138,0
2015-06-01,-0.0154,0
2015-07-01,0.015700000000000002,0
2015-08-01,-0.0602,0
2015-09-01,-0.030600000000000002,0
2015-10-01,0.0775,0
2015-11-01,0.005699999999999999,0
2015-12-01,-0.0215,1e-4
2016-01-01,-0.0574,1e-4
2016-02-01,-7.000000000000001e-4,2e-4
2016-03-01,0.0695,2e-4
2016-04-01,0.0091,1e-4
2016-05-01,0.0178,1e-4
2016-06-01,-3e-4,2e-4
2016-07-01,0.0394,2e-4
2016-08-01,0.0049,2e-4
2016-09-01,0.0027,2e-4
2016-10-01,-0.020099999999999996,2e-4
2016-11-01,0.048499999999999995,1e-4
2016-12-01,0.0181,3e-4
2017-01-01,0.0194,4e-4
2017-02-01,0.0355,4e-4
2017-03-01,0.0017000000000000001,3e-4
2017-04-01,0.0108,5e-4
2017-05-01,0.010700000000000001,6e-4
2017-06-01,0.0078000000000000005,6e-4
2017-07-01,0.018799999999999997,7.000000000000001e-4
2017-08-01,0.0018,9e-4
2017-09-01,0.024900000000000002,9e-4
2017-10-01,0.0225,9e-4
2017-11-01,0.031200000000000002,8e-4
2017-12-01,0.0106,9e-4
2018-01-01,0.0558,0.0011
2018-02-01,-0.0364,0.0011
2018-03-01,-0.0235,0.0012
2018-04-01,0.0029,0.0014000000000000002
2018-05-01,0.0263,0.0014000000000000002
2018-06-01,0.0049,0.0014000000000000002
2018-07-01,0.032,0.0016
2018-08-01,0.0346,0.0016
2018-09-01,6e-4,0.0015
2018-10-01,-0.0764,0.0019
2018-11-01,0.0171,0.0018
2018-12-01,-0.0955,0.0019
2019-01-01,0.0836,0.0021
2019-02-01,0.0342,0.0018
2019-03-01,0.011000000000000001,0.0019
2019-04-01,0.0397,0.0021
2019-05-01,-0.0692,0.0021
2019-06-01,0.0692,0.0018
2019-07-01,0.012199999999999999,0.0019
2019-08-01,-0.0255,0.0016
2019-09-01,0.014199999999999999,0.0018
2019-10-01,0.0207,0.0015
2019-11-01,0.0387,0.0012
2019-12-01,0.0276,0.0014000000000000002
2020-01-01,-9e-4,0.0013
2020-02-01,-0.0815,0.0012
2020-03-01,-0.1335,0.0012
2020-04-01,0.1358,0
2020-05-01,0.0559,1e-4
2020-06-01,0.024399999999999998,1e-4
2020-07-01,0.0583,1e-4
2020-08-01,0.0762,1e-4
2020-09-01,-0.0364,1e-4
2020-10-01,-0.0208,1e-4
2020-11-01,0.1244,1e-4
2020-12-01,0.0463,1e-4
2021-01-01,-7.000000000000001e-4,0
2021-02-01,0.0281,0
2021-03-01,0.0316,0
2021-04-01,0.049699999999999994,0
2021-05-01,0.0029,0
2021-06-01,0.0273,0
2021-07-01,0.0134,0
2021-08-01,0.029500000000000002,0
2021-09-01,-0.044000000000000004,0
2021-10-01,0.0663,0
2021-11-01,-0.0158,0
2021-12-01,0.032400000000000005,1e-4
2022-01-01,-0.061500000000000006,0
2022-02-01,-0.022799999999999997,0
2022-03-01,0.0308,0
2022-04-01,-0.0941,0
2022-05-01,-0.0033,3e-4
2022-06-01,-0.084,6e-4
2022-07-01,0.09570000000000001,8e-4
2022-08-01,-0.0377,0.0019
2022-09-01,-0.0934,0.0019
2022-10-01,0.0786,0.0023
2022-11-01,0.046900000000000004,0.0029
2022-12-01,-0.0638,0.0033
2023-01-01,0.0659,0.0034999999999999996
2023-02-01,-0.025699999999999997,0.0034000000000000002
2023-03-01,0.024900000000000002,0.0036
2023-04-01,0.0063,0.0034999999999999996
2023-05-01,0.0033,0.0036
2023-06-01,0.0646,0.004
2023-07-01,0.0321,0.0045000000000000005
2023-08-01,-0.0236,0.0045000000000000005
2023-09-01,-0.052300000000000006,0.0043
2023-10-01,-0.0315,0.004699999999999999
2023-11-01,0.0888,0.0044
2023-12-01,0.048600000000000004,0.0043
2024-01-01,0.0073,0.004699999999999999
2024-02-01,0.0507,0.0042
2024-03-01,0.028399999999999998,0.0043
2024-04-01,-0.04650000000000001,0.004699999999999999
2024-05-01,0.0432,0.0044
2024-06-01,0.027999999999999997,0.0040999999999999995
2024-07-01,0.012199999999999999,0.0045000000000000005
2024-08-01,0.0161,0.0048
2024-09-01,0.0173,0.004
