"Date","X.gspc","msft","tsm","nvda","amzn","aapl","goog"
2016-01-01,NA,NA,NA,NA,NA,NA,NA
2016-02-01,-0.00412836030900353,-0.0764203861465208,0.0536912230473935,0.0706725927537029,-0.0587393835904203,-0.00667756236838236,-0.0608116004179095
2016-03-01,0.0659911144400584,0.0854952512343222,0.112526607716768,0.13616073244379,0.0744226379765783,0.127210622730277,0.0676154361816574
2016-04-01,0.00269939828333251,-0.0970487172691823,-0.0996183410056794,-0.00280662098371252,0.111094289417833,-0.139921096420807,-0.0697228008945732
2016-05-01,0.0153246025252885,0.062763207041379,0.0479016173572444,0.314945107359491,0.0958170944058201,0.065286994730639,0.0616296437212367
2016-06-01,0.000910921240124264,-0.0345283364349941,0.0610841533505257,0.00620725229319689,-0.00991993352581601,-0.0426597447445727,-0.0592888543868449
2016-07-01,0.0356098007533153,0.107680327015811,0.0590926866740246,0.214635136922551,0.0603532665072741,0.0900627693282055,0.110807669696708
2016-08-01,-0.00121924289901928,0.0137614462790617,0.0345572016106591,0.0742556538606523,0.0136398269272263,0.01813644953702,-0.00226324453560318
2016-09-01,-0.00123445113931732,0.00243646696622154,0.0643702295129751,0.117052564807178,0.0886031828092828,0.0655042853684102,0.0133497740871731
2016-10-01,-0.0194256789090345,0.0402777735465837,0.0166721224693649,0.0385288864349576,-0.0567173494891474,0.00433434631173955,0.00932735707705906
2016-11-01,0.034174521829295,0.00567423502966831,-0.0453376151163081,0.295671731263269,-0.0496949044026711,-0.0265985929902166,-0.0337777735421428
2016-12-01,0.0182007624418659,0.031198159981419,-0.031660509166355,0.157700594060471,-0.000932620482622714,0.0479551503143329,0.0181784382950431
2017-01-01,0.0178843581983824,0.0403926965060221,0.0751304294752038,0.0228593254411436,0.0981636831579693,0.0477464927807628,0.032352124505963
2017-02-01,0.0371981600668163,-0.0103635261845181,0.0181170970141324,-0.0705257778127561,0.0261815495357074,0.128883454599947,0.0331580248582732
2017-03-01,-0.000389197135269451,0.0293841994618045,0.0435335516086913,0.0734134709225653,0.0491101206308209,0.0486896700597486,0.0077137321317986
2017-04-01,0.00909120874885471,0.0394776563927398,0.00700364010863756,-0.0425043017340536,0.0433708715886678,-6.96767741183073e-05,0.0920970065047034
2017-05-01,0.0115762512463286,0.0201577165041325,0.0692470800320494,0.383988494463752,0.0752764613149639,0.0634180368773028,0.0650139006799303
2017-06-01,0.00481377520781258,-0.0130297262375591,-0.0113122601519924,0.00145479098280645,-0.0267639398764241,-0.0572138684777439,-0.058174232104675
2017-07-01,0.0193488260011019,0.0546931180382329,0.0286041197422155,0.124169831342279,0.0204338508658338,0.0327037308384441,0.0239565319380406
2017-08-01,0.000546433019853338,0.0284731744390296,0.0280868231908989,0.0426435798955049,-0.00726884853128478,0.102669298131591,0.00948947422363431
2017-09-01,0.0193029785621676,-0.00374480128217098,0.0156883418232787,0.0550637719034403,-0.0196307920690396,-0.0602439322122713,0.0210576100395176
2017-10-01,0.0221881350661513,0.116659990476827,0.127297009084262,0.156849517273417,0.149716517624905,0.0968076735118027,0.0599826731588362
2017-11-01,0.0280826278065635,0.0119018737693841,-0.0644933437005139,-0.0294957022171395,0.0646623767888814,0.0166233609145164,0.00469190046245849
2017-12-01,0.00983163059427056,0.0162766160910705,0.00126270337587235,-0.0359224151628473,-0.00618656840183979,-0.0152459137790101,0.0244661847611543
