"","X.gspc.close","X.gspc.volume","msft.close","msft.volume","tsm.close","tsm.volume","nvda.close","nvda.volume","amzn.close","amzn.volume","aapl.close","aapl.volume"
"1",4076.60009765625,80763810000,247.809997558594,666168100,92.7300033569336,318689500,19.5370006561279,9454960000,103.129997253418,1523798600,144.289993286133,1443652500
"2",3970.14990234375,80392280000,249.419998168945,615501000,87.0699996948242,259738900,23.2159996032715,10393479000,94.2300033569336,1364102000,147.410003662109,1307198900
"3",4109.31005859375,113094800000,288.299987792969,747635000,93.0199966430664,237414100,27.7770004272461,11263731000,103.290000915527,1349240300,164.899993896484,1520266600
"4",4169.47998046875,70861260000,307.260009765625,551520000,84.3000030517578,192482300,27.7490005493164,7436450000,105.449996948242,1224234500,169.679992675781,969776400
"5",4179.830078125,85190040000,328.390014648438,600856900,98.5899963378906,296515100,37.8339996337891,11697819000,120.580001831055,1433039100,177.25,1275364700
"6",4450.3798828125,87983140000,340.540008544922,547702200,100.919998168945,247204000,42.3019981384277,10527050000,130.360000610352,1242936000,193.970001220703,1297383300
"7",4588.9599609375,75063200000,335.920013427734,666746800,99.1500015258789,197701600,46.7290000915527,8706845000,133.679992675781,1058873500,196.449996948242,996114000
"8",4507.66015625,86840820000,327.760009765625,479476200,93.5699996948242,186436400,49.3549995422363,13632152000,138.009994506836,1210688300,187.869995117188,1322657800
"9",4288.0498046875,73482980000,315.75,416742300,86.9000015258789,168502600,43.4990005493164,8579273000,127.120002746582,1120505300,171.210006713867,1337823000
"10",4193.7998046875,83519460000,338.109985351562,540950200,86.3099975585938,206491500,40.7799987792969,10141101000,133.089996337891,1224668600,170.770004272461,1172816900
"11",4567.7998046875,80970570000,378.910003662109,563894000,97.3099975585938,186181200,46.7700004577637,9144618000,146.089996337891,1026039500,189.949996948242,1099651600
"12",4769.830078125,81530670000,376.040008544922,522081700,104,173291500,49.5219993591309,7411887000,151.940002441406,931322200,192.529998779297,1063181200
"13",4845.64990234375,81737880000,397.579986572266,528491200,112.959999084473,308915700,61.5270004272461,9706237000,155.199996948242,954015000,184.399993896484,1187490800
"14",5096.27001953125,82066930000,413.640014648438,444091200,128.669998168945,264486000,79.1119995117188,11061356000,176.759994506836,1045002200,180.75,1161553500
"15",5254.35009765625,86299510000,420.720001220703,426445300,136.050003051758,383687900,90.3560028076172,12149218000,180.380004882812,702056800,171.479995727539,1433151800
"16",5035.68994140625,81747170000,389.329986572266,441083800,137.339996337891,344521700,86.4020004272461,10072334000,175,917138300,170.330001831055,1246144100
"17",5277.509765625,86849720000,415.130004882812,413780000,151.039993286133,266618300,109.633003234863,9645174000,176.440002441406,892274700,192.25,1336511300
"18",5460.47998046875,76025620000,446.950012207031,341717100,173.809997558594,305445700,123.540000915527,7424176700,193.25,810555700,210.619995117188,1717952100
"19",5522.2998046875,80160390000,418.350006103516,440449200,165.800003051758,445684600,117.019996643066,6405438600,186.979995727539,868061100,222.080001831055,1153099800
"20",5648.39990234375,81097300000,417.140014648438,451919000,171.699996948242,349594500,119.370002746582,8105367800,178.5,971023900,229,1122667000
"21",5762.47998046875,79564830000,430.299987792969,376898100,173.669998168945,253931200,121.440002441406,6271163200,186.330001831055,764950500,233,1232097700
"22",5705.4501953125,82412430000,406.350006103516,440745500,190.539993286133,356942700,132.759994506836,5627917200,186.399993896484,733878800,225.910003662109,930736000
"23",6032.3798828125,84101980000,423.459991455078,442306200,184.660003662109,245539200,138.25,4497414600,207.889999389648,905835300,237.330001831055,891588300
"24",5881.6298828125,86064900000,421.5,439902400,197.490005493164,253846600,134.289993286133,4085855200,219.389999389648,760891000,250.419998168945,977916100
"25",6040.52978515625,88639380000,415.059997558594,462501200,209.320007324219,405736700,120.069999694824,5948400800,237.679992675781,652577000,236,1200176400
"26",5954.5,9.2317e+10,396.989990234375,432448900,180.529998779297,280718000,124.919998168945,4755230400,212.279998779297,783613700,241.839996337891,862272300
"27",5611.85009765625,111387270000,375.390014648438,491786600,166,339020100,108.379997253418,6177950300,190.259994506836,966721800,222.130004882812,1115239500
"28",5569.06005859375,118936380000,395.260009765625,563144100,166.690002441406,443428100,108.919998168945,6811006400,184.419998168945,1313093300,212.5,1607318600
"29",5911.68994140625,105346260000,460.359985351562,476942400,193.320007324219,281389300,135.130004882812,4756803800,205.009994506836,937262700,200.850006103516,1195728200
"30",6204.9501953125,106456300000,497.410003662109,401255100,226.490005493164,215694600,157.990005493164,3821296800,219.389999389648,870687900,205.169998168945,1100409300
"31",6339.39013671875,114004890000,533.5,396881900,241.619995117188,263626300,177.869995117188,3596804400,234.110000610352,856016400,207.570007324219,1079935600
"32",6460.259765625,99352030000,506.690002441406,454888500,230.869995117188,219691700,174.179992675781,3608891200,229,877658700,232.139999389648,1218079100
"33",6688.4599609375,114074610000,517.950012207031,424025500,279.290008544922,251136900,186.580001831055,3890495300,219.570007324219,965100000,254.630004882812,1265536400
"34",6890.58984375,117210680000,541.549987792969,392762900,305.089996337891,313062800,207.039993286133,3671096000,230.300003051758,928011900,269.700012207031,940985900
"35",6822.33984375,3911030000,525.760009765625,40049515,303.220001220703,14436966,202.889999389648,174165911,222.860000610352,93570857,271.399993896484,66283036
