"","X.gspc.close","X.gspc.volume","msft.close","msft.volume"
"1",4076.60009765625,80763810000,247.809997558594,666168100
"2",3970.14990234375,80392280000,249.419998168945,615501000
"3",4109.31005859375,113094800000,288.299987792969,747635000
"4",4169.47998046875,70861260000,307.260009765625,551520000
"5",4179.830078125,85190040000,328.390014648438,600856900
"6",4450.3798828125,87983140000,340.540008544922,547702200
"7",4588.9599609375,75063200000,335.920013427734,666746800
"8",4507.66015625,86840820000,327.760009765625,479476200
"9",4288.0498046875,73482980000,315.75,416742300
"10",4193.7998046875,83519460000,338.109985351562,540950200
"11",4567.7998046875,80970570000,378.910003662109,563894000
"12",4769.830078125,81530670000,376.040008544922,522081700
"13",4845.64990234375,81737880000,397.579986572266,528491200
"14",5096.27001953125,82066930000,413.640014648438,444091200
"15",5254.35009765625,86299510000,420.720001220703,426445300
"16",5035.68994140625,81747170000,389.329986572266,441083800
"17",5277.509765625,86849720000,415.130004882812,413780000
"18",5460.47998046875,76025620000,446.950012207031,341717100
"19",5522.2998046875,80160390000,418.350006103516,440449200
"20",5648.39990234375,81097300000,417.140014648438,451919000
"21",5762.47998046875,79564830000,430.299987792969,376898100
"22",5705.4501953125,82412430000,406.350006103516,440745500
"23",6032.3798828125,84101980000,423.459991455078,442306200
"24",5881.6298828125,86064900000,421.5,439902400
"25",6040.52978515625,88639380000,415.059997558594,462501200
"26",5954.5,9.2317e+10,396.989990234375,432448900
"27",5611.85009765625,111387270000,375.390014648438,491786600
"28",5569.06005859375,118936380000,395.260009765625,563144100
"29",5911.68994140625,105346260000,460.359985351562,476942400
"30",6204.9501953125,106456300000,497.410003662109,401255100
"31",6339.39013671875,114004890000,533.5,396881900
"32",6460.259765625,99352030000,506.690002441406,454888500
"33",6495.14990234375,24197750000,498.200012207031,98722600
"34",6512.60986328125,2652338000,498.410003662109,14214748
