year,month,ticker,close,volume,volume (mil)
2023,1,gspc,4076.600098,80763810000,80763.81
2023,2,gspc,3970.149902,80392280000,80392.28
2023,3,gspc,4109.310059,1.13E+11,1.13E+05
2023,4,gspc,4169.47998,70861260000,70861.26
2023,5,gspc,4179.830078,85190040000,85190.04
2023,6,gspc,4450.379883,87983140000,87983.14
2023,7,gspc,4588.959961,75063200000,75063.2
2023,8,gspc,4507.660156,86840820000,86840.82
2023,9,gspc,4288.049805,73482980000,73482.98
2023,10,gspc,4193.799805,83519460000,83519.46
2023,11,gspc,4567.799805,80970570000,80970.57
2023,12,gspc,4769.830078,81530670000,81530.67
2024,1,gspc,4845.649902,81737880000,81737.88
2024,2,gspc,5096.27002,82066930000,82066.93
2024,3,gspc,5254.350098,86299510000,86299.51
2024,4,gspc,5035.689941,81747170000,81747.17
2024,5,gspc,5277.509766,86849720000,86849.72
2024,6,gspc,5460.47998,76025620000,76025.62
2024,7,gspc,5522.299805,80160390000,80160.39
2024,8,gspc,5648.399902,81097300000,81097.3
2024,9,gspc,5762.47998,79564830000,79564.83
2024,10,gspc,5705.450195,82412430000,82412.43
2024,11,gspc,6032.379883,84101980000,84101.98
2024,12,gspc,5881.629883,86064900000,86064.9
2025,1,gspc,6040.529785,88639380000,88639.38
2025,2,gspc,5954.5,9.23E+10,9.23E+04
2025,3,gspc,5611.850098,1.11E+11,1.11E+05
2025,4,gspc,5569.060059,1.19E+11,1.19E+05
2025,5,gspc,5911.689941,1.05E+11,1.05E+05
2025,6,gspc,6204.950195,1.06E+11,1.06E+05
2025,7,gspc,6339.390137,1.14E+11,1.14E+05
2025,8,gspc,6460.259766,99352030000,99352.03
2025,9,gspc,6495.149902,24197750000,24197.75
2025,10,gspc,6512.609863,2652338000,2652.338
2023,1,msft,247.8099976,666168100,666.1681
2023,2,msft,249.4199982,615501000,615.501
2023,3,msft,288.2999878,747635000,747.635
2023,4,msft,307.2600098,551520000,551.52
2023,5,msft,328.3900146,600856900,600.8569
2023,6,msft,340.5400085,547702200,547.7022
2023,7,msft,335.9200134,666746800,666.7468
2023,8,msft,327.7600098,479476200,479.4762
2023,9,msft,315.75,416742300,416.7423
2023,10,msft,338.1099854,540950200,540.9502
2023,11,msft,378.9100037,563894000,563.894
2023,12,msft,376.0400085,522081700,522.0817
2024,1,msft,397.5799866,528491200,528.4912
2024,2,msft,413.6400146,444091200,444.0912
2024,3,msft,420.7200012,426445300,426.4453
2024,4,msft,389.3299866,441083800,441.0838
2024,5,msft,415.1300049,413780000,413.78
2024,6,msft,446.9500122,341717100,341.7171
2024,7,msft,418.3500061,440449200,440.4492
2024,8,msft,417.1400146,451919000,451.919
2024,9,msft,430.2999878,376898100,376.8981
2024,10,msft,406.3500061,440745500,440.7455
2024,11,msft,423.4599915,442306200,442.3062
2024,12,msft,421.5,439902400,439.9024
2025,1,msft,415.0599976,462501200,462.5012
2025,2,msft,396.9899902,432448900,432.4489
2025,3,msft,375.3900146,491786600,491.7866
2025,4,msft,395.2600098,563144100,563.1441
2025,5,msft,460.3599854,476942400,476.9424
2025,6,msft,497.4100037,401255100,401.2551
2025,7,msft,533.5,396881900,396.8819
2025,8,msft,506.6900024,454888500,454.8885
2025,9,msft,498.2000122,98722600,98.7226
2025,10,msft,498.4100037,14214748,14.214748
